wavelength_nm,transmission
380,0.18
400,0.28
420,0.42
440,0.56
460,0.69
480,0.79
500,0.86
520,0.91
540,0.94
560,0.96
580,0.97
600,0.98
620,0.985
640,0.99
660,0.992
680,0.994
700,0.995
720,0.995
