wavelength_nm,transmission
380,0.62
400,0.73
420,0.81
440,0.87
460,0.91
480,0.935
500,0.952
520,0.965
540,0.973
560,0.979
580,0.984
600,0.988
620,0.991
640,0.993
660,0.994
680,0.995
700,0.996
720,0.996
